N,CPU_Time_ms,GPU_Time_ms,NumTriangleCPU,NumTriangleGPU
8,0.007864000000000,0.954895000000000,0,0
8,0.007928000000000,0.374270000000000,6,6
8,0.007911000000000,0.116406000000000,13,13
8,0.008099000000000,0.125729000000000,8,8
8,0.008711000000000,0.272917000000000,2,2
16,0.053418000000000,0.270522000000000,57,57
16,0.053294000000000,0.148593000000000,44,44
16,0.057886000000000,0.159426000000000,73,73
16,0.058036000000000,0.163073000000000,64,64
16,0.055506000000000,0.223959000000000,146,146
32,0.408316000000000,0.144114000000000,644,644
32,1.485214000000000,0.215001000000000,677,677
32,0.474903000000000,0.139167000000000,555,555
32,0.425938000000000,1.755885000000000,487,487
32,0.409195000000000,0.217970000000000,379,379
64,6.579770000000000,0.317188000000000,5675,5675
64,7.211104000000000,0.246562000000000,4575,4575
64,3.311029000000000,0.118386000000000,4978,4978
64,3.476473000000000,1.841614000000000,5678,5678
64,3.339552000000000,1.262865000000000,5451,5451
128,39.668173000000003,0.127916000000000,42996,42996
128,41.824078999999998,0.300469000000000,41781,41781
128,39.479818000000002,0.160574000000000,44127,44127
128,50.435758999999997,0.256198000000000,42862,42862
128,47.951402999999999,0.171356000000000,43506,43506
256,340.609467999999993,0.108907000000000,352365,352365
256,335.775224999999978,0.113750000000000,345698,345698
256,312.335365000000024,0.106510000000000,345313,345313
256,301.541779000000020,0.114063000000000,335719,335719
256,309.298767999999995,0.137083000000000,345256,345256
512,3602.026213000000098,0.095624000000000,2771546,2771546
512,2600.516693999999916,0.108387000000000,2781366,2781366
512,2660.651159999999891,0.109896000000000,2781600,2781600
512,2574.239098999999896,0.116615000000000,2755762,2755762
512,2571.148040999999921,0.094583000000000,2775297,2775297
